"","X","IDP1","PupaeSum","NumCriaderos","PupaeIndex","LarvaePresence","NumChildren","NumAdults","InterruptFreq","InterruptDurHrs","TrashCollectPerWk","LargeSolidColl","SewerConn","FumigLWs","AbateLWs","BiolarvLWs","CanopyUse","ProtectMesh","BreedingSites","VolCriadero","OutsideLocation","DirtyWater","WaterVol","XCoord","YCoord","week0","week1","week2"
"1",1,2698,1,1,1,1,1.45,3,0,0,3,1,1,0,0,1,0,1,1,150,1,0,51,-79.87751,-2.18153,2.66786558462406,33.8316910836188,23.0579382716282
"2",6,29938,6,1,6,1,2,8,0,0,3,1,0.85,1,0,0.18,0,0.3,0.19,0,0.94,0.170833333333333,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"3",7,29588,8,1,8,1,0,3,0,0,3,1,0.84,0.86,0.00999999999999999,0.13,0,0.15,0.0299999999999999,0,1,1,92,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"4",8,29935,1,1,1,1,3,4,0,0,3,1,0.794,1,0,0.44,0,0.21,0.11,0,1,1,64,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"5",9,29811,2,1,2,1,2,5,0,0,3,1,0.784,1,0,0.42,0,0.18,0.0499999999999999,0,1,0,117,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"6",10,29790,27,3,9,1,0,2,0,0,3,1,0.82,1,0,0.2,0,0.24,0.0399999999999999,0,1,1,296,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"7",11,29921,1,1,1,1,3,5,0,0,3,1,0.824,1,0,0.39,0,0.22,0.0899999999999999,0,1,0,23,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"8",12,30107,25,2,12,1,0,2,0,0,3,1,0.79,1,0,0.19,0,0.21,0.0499999999999999,0,1,0,90,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"9",13,29573,2,1,2,0.93,4,2,0,0,3,1,0.874,0.66,0.29,0.46,0,0.32,0.22,0,0.95,0.386666666666667,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"10",14,29854,24,2,12,1,0,1,0,0,3,1,0.83,1,0,0.17,0,0.22,0.0699999999999999,0,1,1,77,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"11",15,29515,16,1,16,1,0,1,0,0,3,1,0.85,0.63,0.21,0.38,0,0.37,0.43,216000,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"12",16,9169,9,1,9,1,0,4,1,1,7,1,1,0,0,1,1,0,1,323680,1,0,1,-79.91015,-2.21142,0,0,0
"13",17,29561,5,1,5,1,6,3,0,0,3,1,0.87,0.59,0.11,0.36,0,0.38,0.4,80000,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"14",18,29846,7,1,7,1,2,5,0,0,3,1,0.84,1,0,0.18,0,0.31,0.21,0,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"15",19,30063,30,1,30,1,3,2,0,0,3,1,0.765,1,0,0.19,0,0.15,0.0399999999999999,0,1,1,116,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"16",20,29526,21,1,21,1,0,2,0,0,3,1,0.87,0.64,0.15,0.37,0,0.39,0.41,360000,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"17",21,29909,7,1,7,1,0,5,0,0,3,1,0.88,1,0,0.17,0,0.33,0.22,0,1,0,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"18",22,29826,2,1,2,1,1.55333333333333,4.18,0,-3.49498208151999e-15,3,1,0.884,1,0.23,0.47,0,0.32,0.26,0,1,1,1,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"19",23,30016,8,2,4,1,0,5,0,0,3,1,0.81,1,0,0.17,0,0.16,0.0299999999999999,0,1,1,71,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"20",24,30092,6,2,3,1,1,3,0,0,3,1,0.79,1,0,0.16,0,0.16,0.0199999999999999,0,1,1,28,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"21",25,9403,9,1,9,1,0,2,1,3,7,1,1,0,0,0,1,0,1,3168,1,1,1,-79.91048,-2.20872,0,0,0
"22",26,30049,2,1,2,1,3,5,0,0,3,1,0.804,1,0,0.47,0,0.18,0.0999999999999999,0,1,1,64,-79.90846,-2.21084,36.0940795921754,15.7811808371229,22.8961676939234
"23",28,40803,9,1,9,1,1,5,1,3,3,0,1,0,0,0,1,0,1,180000,0,0,1,-79.92935,-2.08195,0,0,0
"24",29,40814,4,1,4,0,3,2,1,0,3,0,1,1,0,1,1,0,1,288000,1,0,1,-79.92919,-2.08161,0,0,0
"25",34,8074,6,1,6,1,2,5,1,12,2,1,1,1,0,1,1,1,0,198476,1,0,1,-79.93344,-2.08096,0,7.79193418176226,0
"26",36,8267,21,1,21,1,7,8,1,12,3,1,1,0,0,1,1,0,1,518940,1,0,1,-79.93551,-2.08866,0,7.79193418176226,0
"27",37,8173,2,1,2,1,3,3,1,12,3,1,1,0,0,1,1,0,1,52920,0,0,1,-79.9343,-2.08532,0,7.79193418176226,0
"28",38,7988,1,1,1,1,0,2,1,4,0,0.75,1,0,0,1,1,0,0.67,300,0,0,1,-79.9322,-2.08005,0,7.79193418176226,0
"29",39,8188,16,1,16,1,0,4,1,12,3,1,1,0,0,1,1,0,1,11700,0,0,1,-79.9344,-2.08569,0,7.79193418176226,0
"30",40,8100,4,1,4,1,3,6,1,6,3,1,1,1,0,1,1,0,1,163072,1,0,1,-79.93398,-2.0842,0,7.79193418176226,0
"31",41,7921,1,1,1,1,1,3,1,3,3,1,1,1,0,1,1,0,1,165888,0,1,1,-79.93573,-2.08559,0,7.79193418176226,0
"32",42,8345,6,2,3,1,0,4,1,12,3,1,1,0,0,1,1,1,1,221500,1,0,2,-79.93505,-2.08558,0,7.79193418176226,0
"33",43,8395,6,2,3,1,1,5,1,12,3,1,1,0,0,1,1,0,1,161646.5,1,0,2,-79.93531,-2.0851,0.100000001490116,0,7.79193418176226
"34",44,39493,5,1,5,1,0,1,1,3,4,1,1,0,0,0,1,0,1,27000,1,1,1,-79.92806,-2.09757,0,0.983307184566876,6.60744392204487
"35",45,17165,6,1,6,1,0,6,1,3,3,1,1,0,0,0,1,0,1,2400,1,0,1,-79.922298,-2.098565,0.804155279995967,0.839095220678833,13.0468917093075
"36",46,39543,18,1,18,1,0,2,1,2,3,1,1,0,0,0,0,1,1,384000,1,0,1,-79.92494,-2.10018,0,0.983307184566876,6.60744392204487
"37",47,39611,7,1,7,1,1,2,1,3,4,1,1,0,0,1,1,0,1,100920,1,0,1,-79.92559,-2.09996,0,0.983307184566876,6.60744392204487
"38",48,39515,2,1,2,1,0,2,1,3,7,1,1,0,0,0,1,0,1,9000,1,0,1,-79.92879,-2.09953,0,0.983307184566876,6.60744392204487
"39",49,16261,1,1,1,1,2,2,0,1.01,3,0,0.9,0,0,1,0,1,0,1500,1,0,1,-79.92688,-2.09034,0.839095220678833,13.0468917093075,0.108176971595827
"40",51,25743,4,1,4,1,2,3,0,0.459999999999998,3,1,0.32,0,0.37,1,1,1,0.54,0,1,0,65,-79.94424,-2.21871,0,0,0
"41",52,25772,1,1,1,1,0,2,0,0.669999999999999,3,1,0.31,0,0.399,1,1,1,0.595,0,0.928571428571429,0.19,28,-79.94424,-2.21871,0,0,0
"42",53,25572,1,1,1,1,0,4,0,0.579999999999999,3,1,0.24,0,0.319,1,1,0,0.515,0,0.88,0.236666666666667,68,-79.94424,-2.21871,0,0,0
"43",54,25607,7,1,7,1,0,5,0,0.289999999999998,3,1,0.263333333333333,0,0.339,1,0,0,0.39,0,0.92,0.266666666666667,28,-79.94424,-2.21871,0,0,0
"44",55,7300,8,1,8,1,2,3,0,0.0799999999999968,3,1,0,0,0,0,0,0,0,0,1,1,64,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"45",56,7323,6,1,6,1,4,4,0,0.0799999999999968,3,1,0,0,0,0,0,0,0,5,1,1,116,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"46",57,7318,27,1,27,1,0,3,0,0,3,1,1,0,0,0,0,0,0,0,1,1,1,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"47",58,7313,4,1,4,1,3,6,0,0,3,1,0,0,0,0,0,0,0,10,1,1,29,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"48",59,7297,4,1,4,1,4,8,0,0,3,1,0,0,0,0,0,0,0,0,1,0,29,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"49",61,7316,10,2,5,0,1,3,0,-3.08642000845794e-15,3,1,0,0,0,0,0,0,0,3,1,1,184,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"50",62,7299,9,1,9,1,1,8,0,0,3,1,0,0,0,0,0,0,0,2400,1,1,65,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"51",63,7298,25,2,12,1,4,2,0,0,3,1,0,0,0,0,0,0,0,600,1,0,150,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"52",64,7325,56,2,28,1,1,4,0,0,3,1,0,0,0,0,0,0,0,1801.5,1,1,185,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"53",65,7335,6,1,6,1,4,5,0,0,3,1,0,0,0,0,0,0,0,1,1,1,23,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"54",66,7342,55,2,28,1,2,4,0,0,3,1,0,0,0,0,0,0,0,250.5,1,1,141,-79.94175,-2.21201,35.4747684604822,16.8189946025436,23.8958966388102
"55",77,36857,1,1,1,1,1,4,0,0,3,1,1,0,0,1,1,0,0,350,1,1,1,-79.91303,-2.21067,0,0.100000001490116,0
"56",78,25444,3,1,3,1,0,4,0,0,3,1,0.83,0,0,1,0,1,0.49,0,1,0,1,-79.92467,-2.20544,0,0,0
"57",86,29940,1,1,1,1,0,4,0,0,3,1,0.874,1,1,0.75,0,0.3025,0.326666666666667,0,1,0,23,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"58",87,29955,1,1,1,1,2,4,0,0,3,1,0.864,0.65,1,1,0,0.3425,0.276666666666667,0,1,0,29,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"59",88,29800,17,1,17,1,0,5,0,0,3,1,0.79,0,1,0.58,0,0.27,0.246666666666667,0,1,1,104,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"60",89,30396,9,2,4,1,0,0,0,0,3,1,0.83,0.43,0.4315,0.54,0,0.3,0.24,0,1,1,128,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"61",90,30625,131,4,33,1,4,9,0,0,3,1,0.733333333333333,1,0,0.565,0,0.4,0.461666666666667,192000,1,0,84,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"62",91,29819,7,1,7,1,0,4,0,0,3,1,0.8,0,0,0.45,0,0.31,0.206666666666667,0,1,0,92,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"63",93,30103,2,1,2,1,0,2,0,0,3,1,0.844,0.46,0,0.6675,0,0.2825,0.326666666666667,0,1,1,18,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"64",94,30264,21,3,7,1,3,1,0,0,3,1,0.76,0.48,0,0.5,0,0.24,0.19,0,1,1,120,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"65",95,29932,12,1,12,1,0,2,0,0,3,1,0.82,1,1,0.66,0,0.24,0.256666666666667,0,1,0,67,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"66",96,30012,2,1,2,1,2,10,0,0,3,1,0.864,0,1,0.76,0,0.2825,0.246666666666667,0,1,0,104,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"67",97,30082,7,1,7,1,0,2,0,0,3,1,0.87,0,1,0.6095,0,0.35,0.386666666666667,0,0.98,0.57,1,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"68",98,30528,7,1,7,1,1,3,0,0,3,1,0.85,0.37,1,0.6,0,0.26,0.236666666666667,0,1,1,92,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"69",99,30569,2,1,2,0,1,5,0,0,3,1,0.844,0.61,1,0.77,0,0.2725,0.276666666666667,0,1,0,29,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"70",100,30503,5,1,5,1,0,2,0,0,3,1,0.86,0.43,1,0.68,0,0.26,0.306666666666667,0,1,1,64,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"71",101,30181,2,1,2,1,0,3,0,0,3,1,0.864,0.54,1,0.79,0,0.2525,0.286666666666667,0,1,1,64,-79.90892,-2.21728,38.3446997361959,2.29698351450207,37.3341621902266
"72",102,42560,9,1,9,1,1.55333333333333,1,1,6,0,0,0,0,0,0,1,0,1,252000,1,0,1,-79.96851,-2.0963,0.050000000745058,0,0
"73",103,43531,24,1,24,1,0,1,1,2,3,0,1,1,0,1,0.74,1,1,450000,1,0,1,999999,999999,0,0,1.61805299200048
"74",104,42071,1,1,1,1,2,3,1,24,3,0,1,0,0,1,1,0,1,252000,1,0,23,-79.95724,-2.09547,0,0,1.61805299200048
"75",105,42072,4,1,4,1,2,3,1,24,3,0,1,0,0,1,1,0,1,108000,0,0,1,-79.95715,-2.0955,0,0,1.61805299200048
"76",106,42070,1,1,1,1,1,3,1,24,0,0,1,0,0,1,1,0,1,144000,0,0,1,-79.95718,-2.09532,0,0,1.61805299200048
"77",107,37288,7,1,7,1,1,5,1,2,3,1,0,0,0,0,1,0,1,8e+05,1,0,1,-79.95107,-2.118165,39.6577286507866,18.0991417865617,12.8008587692668
"78",108,37233,42,1,42,1,0,5,1,3,3,1,0,0,0,0,1,0,1,100920,1,0,1,-79.95156,-2.11758,39.6577286507866,18.0991417865617,12.8008587692668
"79",109,37293,15,1,15,1,1,7,1,2,3,1,0,0,0,0,1,0,1,67280,0,0,1,-79.951,-2.11776,39.6577286507866,18.0991417865617,12.8008587692668
"80",110,37298,24,2,12,1,2,3,1,2,3,1,0,0,0,0,1,0,1,148016,1,0,2,-79.95096,-2.11791,39.6577286507866,18.0991417865617,12.8008587692668
"81",111,37058,35,2,18,1,1,4,1,2,3,1,0,0,0,0,1,0,1,9000,1,0,2,-79.9522,-2.11906,39.6577286507866,18.0991417865617,12.8008587692668
"82",112,36995,8,1,8,1,0,2,1,3,3,1,0,0,0,0,1,0,1,1500,1,0,1,-79.95249,-2.117515,39.6577286507866,18.0991417865617,12.8008587692668
"83",113,37286,5,1,5,1,0,4,1,12,3,1,0,0,0,0,1,0,1,67280,1,0,1,-79.95111,-2.118355,39.6577286507866,18.0991417865617,12.8008587692668
"84",114,37180,15,1,15,1,7,4,0,0,3,1,0,0,0,0,1,0,1,269120,1,0,1,-79.9519,-2.11889,39.6577286507866,18.0991417865617,12.8008587692668
"85",115,37221,30,2,15,1,1,7,0,0,3,1,0,0,0,0,1,0,1,9375,1,0,2,-79.95175,-2.11711,39.6577286507866,18.0991417865617,12.8008587692668
"86",116,37243,17,1,17,1,2,4,0,0,7,1,0,0,0,0,1,0,1,1125,1,0,1,-79.95146,-2.118815,39.6577286507866,18.0991417865617,12.8008587692668
"87",117,37182,6,1,6,1,1,3,0,0,3,1,0,0,0,0,1,0,1,5e+05,1,0,1,-79.95172,-2.1183,39.6577286507866,18.0991417865617,12.8008587692668
"88",118,37032,16,1,16,1,0,3,1,3,3,1,0,0,0,0,1,0,1,67280,1,0,1,-79.95265,-2.11845,39.6577286507866,18.0991417865617,12.8008587692668
"89",119,37025,24,1,24,1,2,4,1,12,3,1,0,0,0,0,1,0,1,400,1,0,1,-79.95227,-2.11899,39.6577286507866,18.0991417865617,12.8008587692668
"90",120,37229,9,1,9,1,1,2,1,2,3,1,0,0,0,0,1,0,1,67280,1,0,1,-79.95139,-2.117536,39.6577286507866,18.0991417865617,12.8008587692668
"91",121,37021,17,1,17,1,1,7,1,12,3,1,0,0,0,0,1,0,1,269120,1,0,1,-79.9522,-2.118825,39.6577286507866,18.0991417865617,12.8008587692668
"92",122,45904,3,1,3,1,2,4,0,0,3,1,1,0,0,1,1,0,1,151250,1,1,1,-79.95702,-2.10762,0,0,0
"93",123,38793,24,2,12,1,0,5,1,2,4,1,0,0,0,0,1,0,1,151380,1,0,2,-79.95315,-2.1092,0.080538297099149,0,0.938923393640136
"94",124,37335,11,1,11,1,0,3,1,2,3,1,0,0,0,0,1,0,1,125000,1,0,1,-79.95066,-2.1172,40.5392356078982,18.3916150567124,13.1224641646427
"95",126,47429,5,1,5,1,1,6,0,0,4,1,0,1,1,1,1,0,1,151250,1,0,1,-79.9528,-2.10544,0.100000001490116,0,0
"96",127,38813,9,1,9,1,2,2,1,2,4,1,0,0,0,1,1,0,1,100920,1,0,1,-79.95246,-2.11025,0.080538297099149,0,0.938923393640136
"97",128,38750,9,1,9,1,0,3,0,0,4,1,1,0,0,0,1,0,1,108000,1,0,1,-79.95279,-2.11096,0.080538297099149,0,0.938923393640136
"98",129,16710,1,1,1,1,0,2,1,8,4,0,0,0,0,1,1,0,1,97470,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"99",130,16631,1,1,1,1,2,2,1,8,4,0,0.46,0,0,1,1,0,1,67280,1,0,1,-79.88164,-2.25697,1.60000002384185,1.56376810969689,5.9856106604461
"100",131,38689,6,1,6,1,0,5,1,12,3,1,1,0,0,0,1,0,1,67280,0,0,1,-79.95322,-2.11083,0.080538297099149,0,0.938923393640136
"101",132,47411,5,1,5,1,1,4,0,0,1,1,1,1,0,1,1,0,1,151250,1,0,1,-79.95319,-2.10521,0.100000001490116,0,0
"102",133,38694,14,1,14,1,1,4,1,2,4,1,0,0,0,0,1,0,1,300,1,1,1,-79.95317,-2.11028,0.080538297099149,0,0.938923393640136
"103",134,41075,7,1,7,1,3,4,1,3,3,0,0,0,0,1,1,0,1,144000,1,0,1,-79.95029,-2.11201,0,0,0
"104",135,38785,4,1,4,1,1,4,1,2,4,1,0,0,0,1,1,0,1,269120,1,0,146,-79.95328,-2.10993,0.080538297099149,0,0.938923393640136
"105",136,41057,6,1,6,1,4,4,1,3,3,0,0,0,0,1,1,1,1,180000,1,0,1,-79.95055,-2.11145,0,0,0
"106",137,38944,6,1,6,1,2,2,0,0,4,1,0,0,0,1,1,0,1,180000,1,0,1,-79.94948,-2.11101,0.080538297099149,0,0.938923393640136
"107",138,38898,7,1,7,1,0,2,1,2,3,1,1,0,0,1,1,0,1,32000,1,0,1,-79.95197,-2.10958,0.080538297099149,0,0.938923393640136
"108",139,38870,17,1,17,1,3,2,1,2,3,1,1,0,0,1,1,0,1,144000,1,0,1,-79.9532,-2.10929,0.080538297099149,0,0.938923393640136
"109",140,41103,6,1,6,1,2,4,1,3,3,0,0,0,0,1,1,0,1,108000,1,0,1,-79.94956,-2.11191,0,0,0
"110",141,38965,16,1,16,1,2,2,1,2,4,1,0,0,0,0,1,0,1,2000,1,1,1,-79.94949,-2.1119,0.080538297099149,0,0.938923393640136
"111",142,38911,4,1,4,1,3,2,1,2,3,1,1,0,0,1,1,0,1,3000,1,1,1,-79.95184,-2.10944,0.080538297099149,0,0.938923393640136
"112",143,38869,2,1,2,1,4,2,1,2,3,1,1,0,0,1,1,0,1,108000,1,0,1,-79.95328,-2.10934,0.080538297099149,0,0.938923393640136
"113",144,47465,4,1,4,1,3,4,0,0,3,1,0,1,0,0,1,0,1,151250,1,0,1,-79.95178,-2.10586,0.100000001490116,0,0
"114",145,38933,8,1,8,1,1,3,0,0,4,1,0,0,0,1,1,0,1,180000,1,0,1,-79.94961,-2.11178,0.080538297099149,0,0.938923393640136
"115",146,40954,2,1,2,1,1,4,1,3,3,0,0,0,0,1,1,0,1,144000,1,0,1,-79.95213,-2.11064,0,0,0
"116",162,3583,7,1,7,1,0,2,0,0,3,1,1,1,0,1,1,1,1,297000,1,0,1,-79.90205,-2.19751,0,0,0.453199970434668
"117",163,3504,5,1,5,1,0,2,0,0,3,1,1,0,0,1,1,0,1,396000,1,0,1,-79.8999,-2.19712,0,0,0.453199970434668
"118",164,3534,2,1,2,1,1,9,0,0,3,1,1,0,0,1,1,0,1,141680,1,0,1,-79.90506,-2.19489,0,0,0.453199970434668
"119",165,3597,12,2,6,1,0,4,0,0,3,1,1,0,0,1,1,0,1,30000,1,0,2,-79.90328,-2.1994,0,0,0.453199970434668
"120",166,3561,2,1,2,1,3,2,0,0,3,1,1,0,0,1,1,0,1,192280,0,0,1,-79.90377,-2.19692,0,0,0.453199970434668
"121",167,26767,4,1,4,0,0,6,0,0.859999999999998,3,1,0.749428571428571,0,0.18,1,0,0.6325,0.39,0,1,0,146,-79.90533,-2.19457,0,0,0.167800990664588
"122",168,26735,10,1,10,0,0,5,0,0.859999999999998,3,1,0.749428571428571,0,0.18,1,0,0.61,0.36,0,1,0,146,-79.90533,-2.19457,0,0,0.167800990664588
